path,language,tier,bytes,sha256
revision/bulk_biology/scripts/01_bulk_biology_enrichment.R,R,revision,14549,42cafdb1eb6339e91590a9b4ccb65df78251221696629ff6ecd3b2670a21997e
revision/bulk_biology/scripts/02_plot_bulk_biology_figure.py,Python,revision,13218,f72258c2ef12f37c35b249a4168eceffc28e99efae853b23abbfcfe1b7cb38b4
revision/clinical_cox/scripts/run_stage_grade_cox.R,R,revision,3824,b4bca740e2af4b6c2511264581d5a667110858981851a6c16c1b5c1930ef724f
revision/clinical_increment/scripts/01_fit_tcga_cox_models.R,R,revision,2887,4149275a50ecd8b2868bdbef5bb9fbe2d8c10caa2854bccafd2bcabb64cd6775
revision/clinical_increment/scripts/02_summarize_and_plot.py,Python,revision,11267,8b8f0db0b2356fb8190bf37d49fe13009000e5d6a1ee7cdb0f74dd660fe6d485
revision/immune_therapy/scripts/assemble_and_qc.py,Python,revision,2355,2fdb4d93867a255533727da49c68ac880e9add181910962a849adbe345448080
revision/immune_therapy/scripts/export_r_objects.R,R,revision,3761,01e7e3a05b33b0c0819d783efe88e6cfb110dba2781eb19b84d19f9b2643892b
revision/immune_therapy/scripts/plot_panels.py,Python,revision,10245,7f4a3da9e95c6b39a28ff02448e5cd8b763b63ba1142160a0479dfbb2955453f
revision/immune_therapy/scripts/prepare_data.py,Python,revision,12713,a90427e1aee462fdfbbff7130d58d232d18f548a311425a5a37ade19a0b9c485
revision/immune_therapy/scripts/verify_source_labels.py,Python,revision,1658,d712f9956dac1e00011765bf4f3ce35d06a2baaa05e45987cebe870c24ae45c5
revision/model_selection/references/Mime_ML.Dev.Prog.Sig_upstream_20250923.R,R,revision,195992,362b817e83360813c31716aab52c9eead4175fca5d439994ab70560ee2f38737
revision/model_selection/scripts/00_audit_frozen_models.R,R,revision,4688,0d179ed748cea6e8ba35cac8b533f081c6c41250203fb516584451dcbe47d196
revision/model_selection/scripts/01_prepare_tcga_folds.R,R,revision,6047,e0670ffc6cf92e8a1da436208c6c529296b05183e07a1929cb916669ed498475
revision/model_selection/scripts/02_run_tcga_fold.R,R,revision,4747,c2bdfd13d323644975a840205052f10a12b0693e0b6df0d0d5c796f76440e053
revision/model_selection/scripts/03_aggregate_select_and_lock.R,R,revision,10993,2f3b1776c9bc9cb773591f3dcd35ea9e5604cbd4ad693cf6c3a72e5d1646e6f0
revision/model_selection/scripts/04_fit_and_lock_final_tcga_model.R,R,revision,8470,225faf9ead282b7abe46f77dd6b9ca64a5903fbc6116b50b4f3a716d00bc171d
revision/model_selection/scripts/05_icgc_retrospective_evaluation.R,R,revision,4431,c809bcdd5cb445a8a433f1ea3e45602387d696ed1a25d04cc437edcfa6828039
revision/model_selection/scripts/06_plot_supplementary_figure.R,R,revision,6944,71f53053ab2052e8b69ce7d82f04a78320c5e01294607e5ed9753371544221e2
revision/model_selection/scripts/07_write_readme_and_audit.R,R,revision,16118,84aa70ba1cf8ae3e027a519e4f4f251073bf378c7edf7c0fd3015ce2648008ee
revision/model_selection/scripts/08_export_locked_plsrcox_formula.R,R,revision,6236,5c80c2f9f8edbecb074a54c0eab91632a0773e599f986abe1baf112c69ab17c2
revision/model_selection/scripts/09_plot_compact_panel_A.R,R,revision,5856,f39987cc96221cf736dece117661a2c5649482935c3f58c227b9003f8865746a
revision/model_selection/scripts/10_compare_top7_models.R,R,revision,8683,e3ed021c9e94f40fa21106cc90d6598ec72a03cc70e04e784d49a1d92c52979f
revision/model_selection/scripts/11_plot_top7_cindex_differences.R,R,revision,5435,85ad639d9dd10a1f6a22abe341748f7f5b4e804b96a48a38a8257270297bb9b4
revision/model_selection/scripts/common.R,R,revision,18658,c21aaa7e10809b0465ca74fb014024be4117af997d29e07c307f525362e7a522
revision/model_selection/scripts/predict_locked_model.R,R,revision,1313,9fe1002b559a9b6b6d97d4b2c9951806227f75e3a31f455e974eb9a58618a171
revision/model_selection/scripts/run_server_resume_parallel.sh,Shell,revision,2660,cc8b36974a4eef9564374f8e178948071ef480023397c78dd2097fb44811a17d
revision/model_selection/scripts/run_server_tcga_development.sh,Shell,revision,2761,5eab4b6fea946e14666010b6729755830aaec3a8b380453dc9667ddf5702526d
revision/model_validation/published_signatures/scripts/plot_head_to_head_cindex.py,Python,revision,15112,b334cd20fc7930255e3cf7113a43169b09174190eafe3aaf121f8a54d19bd13d
revision/model_validation/published_signatures/scripts/run_published_signature_head_to_head.py,Python,revision,28951,a8c769a33bdeb39c8717075063db30a60231866ee3f5d7d9a55c2171dd05128f
revision/model_validation/references/historical_all_cohort_model_building.R,R,revision,1322,887a97a3a28ef5eed6ed7d31335bb299b49d9718133f2dbbae52dca0f833d6ef
revision/model_validation/scripts/01_inspect_sources.R,R,revision,2186,1809992cf910e257e1766703eb0fb9b115db2784c3893888d94b722a5ea57a8f
revision/model_validation/scripts/02_export_analysis_inputs.R,R,revision,2185,32e4615d9bee0f63fc0a5266ef3c75707d591ef5148ef0482c64cc2fd595781b
revision/model_validation/scripts/03_export_external_sources.R,R,revision,2447,7faa599db2d6a60707b2a092c17e78cd2beab99c5991bf695ff96b2c21cf6bfa
revision/model_validation/scripts/03b_extract_unfiltered_signature_expression.py,Python,revision,1760,40988f63dd592a550c4bfe72681b54d222a23971167d7b28f7d6361cee0441ee
revision/model_validation/scripts/04_nested_tcga_cv.py,Python,revision,10314,2c5ad8977311590102934c486040534521087b12cec62dbe760a8592746b506f
revision/model_validation/scripts/05_prepare_scores_and_metrics.py,Python,revision,12980,2bef70a701e90f4cb6a8fc22012e6a56c9521e49cb5eacc812358e9a30cfd573
revision/model_validation/scripts/06_clinical_survival.R,R,revision,6802,062638bdf15382966f78f6d676c7c811b9df0a2d242ca3ffc01d34bc08ad63c0
revision/model_validation/scripts/07_nested_and_incremental_summaries.py,Python,revision,5677,be0b6dc9a8ae383333a726c3aa49ba324bcf2a1808e5f9937f02f55d260c56e8
revision/model_validation/scripts/08_sensitivity_statistics.py,Python,revision,5894,14204153791c45f434f43ccf9f1e30d591f3ad0921e434519fcf3e8cc53cbced
revision/model_validation/scripts/09_cox_assumption_sensitivities.R,R,revision,4088,de228db46b0bedbdf14fbf067ed51c269df1c32561c188f92217adc9675e6469
revision/model_validation/scripts/10_verify_and_manifest.py,Python,revision,4553,9b3ce0aadefa2ae3b1d0e81a5cb851b13be703a3e63f278ecac1ff71f732dd50
revision/model_validation/scripts/11_frozen_model_audit.R,R,revision,1394,f410eb34ad8a6cad836c77bc14483f16b4c969c6aceeeee47c84d4135959b671
revision/model_validation/scripts/12_reviewer_grade_and_event_audit.py,Python,revision,4858,cf151f5efd1881174215debc4d7ad01a4b99f32024737d0eba2f07fe37386831
revision/model_validation/scripts/plot_assemble_revision.py,Python,revision,2520,9db0ac300fc26a5479ea7a33ce74d497f0c5d8c1f6aa03c75acd99930b238fad
revision/model_validation/scripts/plot_revision_panels.py,Python,revision,17146,b98ccfacb7d7db55866228e81e99f512f6354858c0fa8cc48c2035eb4b010ffa
revision/model_validation/scripts/run_statistics.py,Python,revision,716,1158eecfcc6db85b2324ffb35dcc26743b734efff0d06fc90d20700e5a62e020
revision/model_validation/scripts/survival_metrics.py,Python,revision,4087,6c4ab39b0336ebe09c888d0e460e4984cbddfa5a7478f3536a9a7eedc0148e3d
revision/nqo1_prioritization/scripts/01_prepare_nqo1_priority_evidence.R,R,revision,6733,999c8a1cd4049eb28d68028dc8678cee87b5e1a7d04a119004fbcfafcf521beb
revision/nqo1_prioritization/scripts/02_plot_nqo1_priority_protein.py,Python,revision,9170,e3e6dcbb3dd008cdaa1185c4be5771979e47cd924baaabbd41c6b725cb13e62b
revision/nqo1_prioritization/scripts/03_plot_nature_supplementary_figure.py,Python,revision,9060,aee1a4ca8057b3b5bb5adca589b0249df9e6ff87851db9d09ffd683ba0c5691a
revision/osars_discrimination/scripts/plot_osars_cindex_bars.py,Python,revision,6607,d2601b51d25f157cd7b01a709066e59a3e65ef395d02388d84e04a3089d6e5ed
revision/osars_mp4_projection/multimethod_projection/scripts/plot_multimethod_state_projection.py,Python,revision,13614,7775462a8f5c30a8bd36bb82373d3f8083a2e1fcfd8770fe8373141c6fa63e7a
revision/osars_mp4_projection/multimethod_projection/scripts/run_multimethod_state_projection.R,R,revision,16514,4162c666dbe64d9bd3f6d38a5230d5b9b5e811f3dc4d71cbfd2aefd0e514ca3f
revision/osars_mp4_projection/scripts/plot_osars_os_high_gsea.py,Python,revision,19091,0abb89e771ff97d9c73876c3151eb168536821d92f413ab14c4b2386057a928a
revision/osars_mp4_projection/scripts/run_osars_os_high_gsea.py,Python,revision,19029,d92870128dc55fadd61d83a5e9fb10a9b72497f1d24be1237b8837c9275035b3
revision/osars_ros_correlation/scripts/plot_osars_direct_ros_correlation.py,Python,revision,8661,1b561410bf5ab2a05dacc1928238234830db6a251f0ef332ca1a09fd08d652db
revision/osars_ros_overlap/scripts/plot_venn.py,Python,revision,4858,020ae40b6befe92b3e0c5a8fbd2b861864c3cd1c3042c7d8e12aae33c75c9c64
revision/pathology/scripts/audit_processed.py,Python,revision,3649,631d7ee2b1354e3f5cf9f6bbfc549c978782e7e8a3c728335a02f931beb2ea7a
revision/pathology/scripts/export_original_objects.R,R,revision,915,4ba295df1aeab8a9f4a691b6fe81f46dbbe8091cddfa0a39259fc01757623d7d
revision/pathology/scripts/fit_and_export.R,R,revision,18098,a7fefc1c6264b6d6b353fe1c869e7c00e58d65310ac1bbb2a2e8d74a7c0e1c35
revision/pathology/scripts/inspect_sources.R,R,revision,1293,f2a4e0a9702832725c2b69cafe3a5bbb6e45de2dd36e53395d42d8b718193ef4
revision/pathology/scripts/plot_assemble_revision.py,Python,revision,1737,71172f40ba73dbfb9826da4ed970f2e582a754535d99f6dac9f26822613cdb91
revision/pathology/scripts/plot_revision_panels.py,Python,revision,6618,fe4e9ba7f96cc8de949da41ed8ebc31a500b2ff4eed4cdf2b5f1edc822a0abcc
