"field","value"
"cohort","TCGA-LIHC"
"expression_file","TCGA_full_expression_logscale.csv.gz"
"score_file","TCGA-LIHC_all_scores.csv"
"n_expression_samples","343"
"n_OSARS_low","172"
"n_OSARS_high","171"
"n_stage_adjusted","321"
"n_hallmark_tested","50"
"n_reactome_tested","1132"
"pathway_test","limma CAMERA competitive gene-set test"
"multiple_testing","Benjamini-Hochberg within each library and analysis"
"gene_set_source","msigdbr"
"msigdbr_version","26.1.0"
"MSigDB_database_version","2026.1.Hs"
"limma_version","3.58.1"
"GSVA_version","1.50.0"
