"gene","component_1","component_2","component_3","component_4","component_5","component_6","component_7","component_8","component_9"
"NQO1",0.115116336702536,0.089185086721774,0.13360301346097,0.17313858486303,0.184324905521882,0.131163643691478,-0.119621046322601,0.00923788250596756,0.0315973837454029
"GLRX3",0.167090840493003,-0.103883336464937,-0.158018538736234,0.20732014606784,0.351054474780409,0.252012476607579,0.269341126511249,0.189342413416862,-0.0286478609907878
"PSMD7",0.13523158862216,0.00865117643214585,-0.157282324280178,-0.164966203776864,-0.0843802568459829,0.0487904042657529,-0.11036696730871,-0.194658199806497,0.00637185813325594
"TUBA4A",0.16479785042224,0.0489743028235813,-0.0775571398052435,-0.0886012895581755,-0.101006683319277,0.052257481374375,-0.0386898895364681,-0.0468364575840344,-0.214533016591061
"METTL5",0.131155549376231,-0.148813464974431,-0.249389988345731,-0.121751685388084,-0.351252292795324,-0.353326633593101,-0.163769767133327,-0.0833068740997396,0.0242070483684915
"HTATIP2",0.144953336069312,0.220795578117916,0.0954667761886059,0.0941246779662257,-0.0617403212824266,0.00338682027623931,-0.0956343958848714,0.230906806714808,0.0684308843025436
"PSMD14",0.210874711037954,0.066519163062474,-0.173985939250373,0.14601967453563,0.372466641428277,0.277164568333359,0.164865143542721,0.22706413318332,0.400973616953253
"HSPB11",0.14655258000404,-0.022483441637893,-0.182626309827986,-0.0805549970567763,-0.158016995284536,-0.0982928111670702,0.0202627997302793,-0.309477215819591,-0.231729168728616
"TPD52",0.111540810425749,-0.092284706252937,-0.260225661219266,-0.124320425094414,-0.121997103530654,-0.064554522504015,-0.0665781137525442,-0.0817074004394893,-0.327167385751561
"EIF5A2",0.132823206436954,0.0377222429781423,0.0260310145758662,-0.0289765260371628,-0.0440111834647991,-0.174611117409835,-0.133166689552272,-0.0292859541887357,-0.0945795685786842
"MGMT",-0.147098382380319,-0.221735156234262,-0.277982698235619,-0.0554775617256459,-0.372390071644455,-0.241653362274363,-0.0386074844717439,0.162043033545573,0.0401829391129118
"TALDO1",0.132997233032709,0.0891812800506853,0.0209927605449112,-0.061676599177214,-0.421973928738203,-0.224775194361179,-0.435011519197968,-0.0730857270023038,0.0980710725883506
"EIF6",0.108791508297113,0.0576338577748872,0.174689476750186,0.251208241140117,-0.02515070213805,0.09381511456384,0.151314050383561,0.08693264623112,0.047292033594695
"DNAJC1",0.147223575121179,0.183133435429028,0.215506876465772,0.112276197482091,0.0171624693091501,-0.112655399473913,0.0623030421261683,0.113145239518467,0.0579878381280795
"PSMD1",0.23507529146669,0.288728642260093,0.212610784705342,0.215948350864375,0.279267854968421,0.0868343483476104,-0.140223509764145,-0.165471261330203,-0.0808775312002645
"DNAJC8",0.155152209809182,-0.00855445602921931,-0.151701810565634,-0.154156445456091,-0.181850345927253,-0.201291221504298,-0.111898818678591,-0.144545338528222,0.184604066772022
"PSMA5",0.132168169350551,-0.0425870160223985,-0.285331377928452,-0.201655550309838,-0.448148215263463,-0.090665345782415,0.0446984247719512,0.0646528994719069,0.0903831558993671
