"program","gene"
"MP1","ATF3"
"MP1","JUN"
"MP1","PPP1R15A"
"MP1","HSPA1B"
"MP1","RHOB"
"MP1","NEAT1"
"MP1","RPS5"
"MP1","AGT"
"MP2","HLA-DPA1"
"MP2","HLA-DPB1"
"MP2","HLA-DQA1"
"MP2","HLA-DRA"
"MP2","HLA-DRB1"
"MP2","HLA-DQB1"
"MP2","TYROBP"
"MP2","AIF1"
"MP2","C1QB"
"MP2","SRGN"
"MP2","FCER1G"
"MP2","CD74"
"MP2","VIM"
"MP2","PTPRC"
"MP2","ARHGDIB"
"MP2","LAPTM5"
"MP2","LCP1"
"MP2","C1QA"
"MP2","COTL1"
"MP2","HCST"
"MP2","MS4A6A"
"MP2","FGL2"
"MP2","HLA-DMA"
"MP2","LYZ"
"MP2","LST1"
"MP2","CYBA"
"MP2","S100A11"
"MP2","ITGB2"
"MP2","GSTP1"
"MP2","RGS10"
"MP3","CYP3A5"
"MP3","KCNQ1OT1"
"MP3","NEAT1"
"MP3","NFIA"
"MP3","FTX"
"MP3","POLR2J3"
"MP3","NKTR"
"MP3","COL27A1"
"MP3","HNF1A-AS1"
"MP3","VEGFA"
"MP3","ZBTB16"
"MP3","PLIN5"
"MP3","CCNL1"
"MP3","CNKSR3"
"MP3","CCDC14"
"MP3","ONECUT1"
"MP3","TMEM161B-AS1"
"MP3","NRBP2"
"MP3","AC003681.1"
"MP3","WSB1"
"MP3","ATR"
"MP3","GOLGB1"
"MP3","GABPB1-AS1"
"MP3","NPEPPS"
"MP3","TUT4"
"MP3","GARS-DT"
"MP3","SH3PXD2A"
"MP3","ACSM2A"
"MP3","PNN"
"MP3","PCK1"
"MP3","GOLGA4"
"MP3","AC016831.5"
"MP3","MIR122HG"
"MP3","APOB"
"MP3","SHPRH"
"MP3","RNPC3"
"MP3","KMT2A"
"MP3","CPLANE1"
"MP3","ZNF518A"
"MP3","ZBTB20"
"MP3","CRY2"
"MP3","AASS"
"MP3","GPAM"
"MP3","SYNE2"
"MP3","PAH"
"MP3","GABRE"
"MP3","PTAR1"
"MP3","NFATC2IP"
"MP3","SCML1"
"MP3","TF"
"MP3","ANKRD36C"
"MP3","SETD5"
"MP3","CHORDC1"
"MP3","LINC00342"
"MP3","THEM4"
"MP3","THOC2"
"MP3","C3"
"MP3","TSHZ2"
"MP3","PPARA"
"MP3","ANKRD11"
"MP3","BPTF"
"MP3","PCSK7"
"MP3","CPEB4"
"MP3","HSPH1"
"MP3","ZC3H13"
"MP3","ERRFI1"
"MP3","JUN"
"MP3","BOD1L1"
"MP3","SPATA13"
"MP3","LINC01558"
"MP3","ONECUT2"
"MP3","RIF1"
"MP3","SMAD5"
"MP3","NAV2"
"MP3","BCLAF1"
"MP3","LINC-PINT"
"MP3","PHIP"
"MP3","TNFSF14"
"MP3","ANKRD26"
"MP3","ZNF292"
"MP3","VEZT"
"MP3","ABCC3"
"MP3","SORL1"
"MP3","EGFR"
"MP3","TRPM7"
"MP3","FGA"
"MP3","CLIP1"
"MP3","LIPG"
"MP3","KIF1B"
"MP3","SPEN"
"MP3","AGO3"
"MP3","DHTKD1"
"MP3","DLG1"
"MP3","DDI2"
"MP3","MAVS"
"MP3","RNF213"
"MP3","ITPR2"
"MP3","HSD17B7"
"MP3","TEAD1"
"MP3","FTCD"
"MP3","SLC5A3"
"MP3","HCG18"
"MP3","PRKAB2"
"MP3","HMGCS1"
"MP3","ZBTB37"
"MP3","TRA2B"
"MP3","PPARGC1A"
"MP3","DSP"
"MP3","AC015871.7"
"MP3","ATRX"
"MP3","AC092683.1"
"MP3","SHROOM1"
"MP3","LDLR"
"MP3","HOOK3"
"MP3","CNTLN"
"MP3","INSIG1"
"MP3","SLC35E3"
"MP3","LPP"
"MP3","CSPP1"
"MP4","HP"
"MP4","FABP1"
"MP4","ORM1"
"MP4","FGB"
"MP4","FGA"
"MP4","SERPINC1"
"MP4","TTR"
"MP4","APOH"
"MP4","FGG"
"MP4","AMBP"
"MP4","GSTA1"
"MP4","RBP4"
"MP4","AHSG"
"MP4","TXN"
"MP4","HULC"
"MP4","HRG"
"MP4","VTN"
"MP4","CFB"
"MP4","TF"
"MP4","FGL1"
"MP4","APOB"
"MP4","ALDOB"
"MP4","A1BG"
"MP4","RPL23A"
"MP4","ORM2"
"MP4","RPL39"
"MP4","C3"
"MP4","HINT1"
"MP4","RPS21"
"MP4","APCS"
"MP4","NDUFA4"
"MP4","ITIH2"
"MP4","PRAP1"
"MP4","SERPINA3"
"MP4","AGT"
"MP4","CLU"
"MP4","RPS13"
"MP4","GC"
"MP4","NUPR1"
"MP4","RPL7A"
"MP4","SAA4"
"MP4","RPS5"
"MP4","NME2"
"MP4","ATP5MC1"
"MP4","DEFB1"
"MP4","ATOX1"
"MP4","RPS10"
"MP4","RARRES2"
"MP4","CES1"
"MP4","CP"
"MP4","SERPING1"
"MP4","ETFB"
"MP4","CD74"
"MP4","IFITM3"
"MP4","DDT"
"MP4","CHCHD10"
"MP4","COX7A2"
"MP4","POLR2L"
