input_order,gene,in_Hallmark_ROS_v7_0,in_frozen_discovery_MP4
1,NQO1,True,False
2,GLRX3,False,False
3,PSMD7,False,False
4,TUBA4A,False,False
5,ADRM1,False,False
6,EIF4EBP1,False,False
7,TMEM147,False,False
8,PFDN2,False,False
9,KDELR1,False,False
10,METTL5,False,False
11,REXO2,False,False
12,EIF3I,False,False
13,POP7,False,False
14,PAFAH1B3,False,False
15,ARPC5L,False,False
16,HTATIP2,False,False
17,TMEM14B,False,False
18,PSENEN,False,False
19,NANS,False,False
20,LAGE3,False,False
21,ARF4,False,False
22,PSMD14,False,False
23,HSPB11,False,False
24,RBP4,False,True
25,MAP2K2,False,False
26,ZNF593,False,False
27,ARL2,False,False
28,TPD52,False,False
29,EIF5A2,False,False
30,BUD31,False,False
31,CDO1,False,False
32,MRPS35,False,False
33,MGMT,False,False
34,TALDO1,False,False
35,LHPP,False,False
36,EIF6,False,False
37,CYB5R3,False,False
38,DNAJC1,False,False
39,RAB5C,False,False
40,TUBA1C,False,False
41,PON3,False,False
42,PSMD1,False,False
43,DNAJC8,False,False
44,PSMA5,False,False
45,CDK4,False,False
46,TRIB3,False,False
47,TKT,False,False
48,SRP19,False,False
49,STOML2,False,False
50,PLIN3,False,False
51,RAB13,False,False
52,COBLL1,False,False
53,PPCS,False,False
54,SNRPB2,False,False
55,CCT3,False,False
56,C4BPA,False,False
57,C4BPB,False,False
58,ECI2,False,False
59,ANAPC13,False,False
60,ALG3,False,False
61,CRYL1,False,False
62,CCT2,False,False
63,SORD,False,False
64,TXNRD1,True,False
65,DDIT3,False,False
66,ZC3H15,False,False
67,SPATS2L,False,False
68,ADI1,False,False
69,VCP,False,False
70,PSMB2,False,False
71,LYRM2,False,False
72,APCS,False,True
73,PECR,False,False
74,HPN,False,False
75,ADH1A,False,False
76,UGDH,False,False
77,BSG,False,False
78,ADH1B,False,False
79,ARPC1A,False,False
80,EIF2S2,False,False
81,EEF1E1,False,False
82,PSMA7,False,False
83,PA2G4,False,False
84,AKR1B10,False,False
85,PGD,False,False
86,RALA,False,False
87,C8B,False,False
88,CTSA,False,False
89,NUTF2,False,False
90,CPS1,False,False
91,PHLDA2,False,False
92,TMCO1,False,False
93,SNRPF,False,False
94,C6,False,False
95,PON1,False,False
96,RTN3,False,False
97,ENO1,False,False
98,ANXA2,False,False
99,POLR2L,False,True
100,SSR2,False,False
101,LDHA,False,False
102,UBAC1,False,False
103,TAT,False,False
104,AKR1C3,False,False
105,ERP29,False,False
106,GNG5,False,False
107,UGP2,False,False
108,IGFBP3,False,False
109,FTH1,False,False
110,OAZ1,False,False
111,VTN,False,True
112,CD63,False,False
113,ECHS1,False,False
114,PTGES3,False,False
115,ITIH2,False,True
116,TUBA1B,False,False
117,PRDX1,True,False
118,CHCHD2,False,False
119,UQCRH,False,False
120,SUB1,False,False
121,DYNLL1,False,False
122,S100A10,False,False
123,GC,False,True
124,GAPDH,False,False
125,NACA,False,False
126,APOC1,False,False
127,NDUFA4L2,False,False
128,KNG1,False,False
